Rank,name,Population
1,ÿCalifornia ,39559045
2,ÿTexas ,28701845
4,ÿFlorida ,21299325
3,ÿNew York ,19542209
6,ÿPennsylvania ,12807060
5,ÿIllinois ,12741080
7,ÿOhio ,11689442
9,ÿGeorgia ,10519475
10,ÿNorth Carolina ,10383620
8,ÿMichigan ,9998915
11,ÿNew Jersey ,9032873
12,ÿVirginia ,8517685
13,ÿWashington ,7535591
16,ÿArizona ,7171646
14,ÿMassachusetts ,6902149
17,ÿTennessee ,6770010
15,ÿIndiana ,6691878
18,ÿMissouri ,6126452
19,ÿMaryland ,6042718
20,ÿWisconsin ,5813568
22,ÿColorado ,5695564
21,ÿMinnesota ,5611179
24,ÿSouth Carolina ,5084127
23,ÿAlabama ,4887871
25,ÿLouisiana ,4659978
26,ÿKentucky ,4468402
27,ÿOregon ,4190713
28,ÿOklahoma ,3943079
30,ÿConnecticut ,3572665
35,ÿUtah ,3161105
31,ÿIowa ,3156145
36,ÿNevada ,3034392
33,ÿArkansas ,3013825
32,ÿMississippi ,2986530
34,ÿKansas ,2911505
37,ÿNew Mexico ,2095428
39,ÿNebraska ,1929268
38,ÿWest Virginia ,1805832
40,ÿIdaho ,1754208
41,ÿHawaii ,1420491
43,ÿNew Hampshire ,1356458
42,ÿMaine ,1338404
45,ÿMontana ,1062305
44,ÿRhode Island ,1057315
46,ÿDelaware ,967171
47,ÿSouth Dakota ,882235
49,ÿNorth Dakota ,760077
48,ÿAlaska ,737438
50,ÿVermont ,626299
52,ÿWyoming ,577737
51,ÿDistrict of Columbia ,702455
